"Report Date","Age","Cases","Rate per 100k"
2020-03-06,"65-84 years",1,0.32
2020-03-09,"65-84 years",1,0.32
2020-03-11,"45-64 years",1,0.16
2020-03-12,"45-64 years",1,0.16
2020-03-13,"25-44 years",3,0.33
2020-03-13,"45-64 years",2,0.32
2020-03-14,"25-44 years",4,0.44
2020-03-14,"45-64 years",1,0.16
2020-03-15,"1-14 years",1,0.14
2020-03-15,"15-24 years",2,0.39
2020-03-15,"25-44 years",8,0.89
2020-03-15,"45-64 years",1,0.16
2020-03-16,"15-24 years",2,0.39
2020-03-16,"25-44 years",2,0.22
2020-03-16,"45-64 years",8,1.29
2020-03-17,"15-24 years",2,0.39
2020-03-17,"25-44 years",7,0.78
2020-03-17,"45-64 years",3,0.48
2020-03-17,"65-84 years",2,0.64
2020-03-18,"15-24 years",2,0.39
2020-03-18,"25-44 years",3,0.33
2020-03-18,"45-64 years",3,0.48
2020-03-18,"65-84 years",1,0.32
2020-03-19,"15-24 years",7,1.37
2020-03-19,"25-44 years",13,1.45
2020-03-19,"45-64 years",8,1.29
2020-03-19,"65-84 years",6,1.92
2020-03-20,"15-24 years",4,0.78
2020-03-20,"25-44 years",13,1.45
2020-03-20,"45-64 years",8,1.29
2020-03-20,"65-84 years",1,0.32
2020-03-21,"1-14 years",1,0.14
2020-03-21,"15-24 years",4,0.78
2020-03-21,"25-44 years",8,0.89
2020-03-21,"45-64 years",6,0.96
2020-03-21,"65-84 years",3,0.96
2020-03-22,"1-14 years",1,0.14
2020-03-22,"15-24 years",14,2.75
2020-03-22,"25-44 years",26,2.89
2020-03-22,"45-64 years",27,4.34
2020-03-22,"65-84 years",14,4.48
2020-03-23,"1-14 years",1,0.14
2020-03-23,"15-24 years",1,0.2
2020-03-23,"25-44 years",5,0.56
2020-03-23,"45-64 years",15,2.41
2020-03-23,"65-84 years",9,2.88
2020-03-24,"1-14 years",2,0.27
2020-03-24,"15-24 years",8,1.57
2020-03-24,"25-44 years",32,3.56
2020-03-24,"45-64 years",20,3.21
2020-03-24,"65-84 years",5,1.6
2020-03-24,"85+ years",1,2.65
2020-03-25,"15-24 years",5,0.98
2020-03-25,"25-44 years",15,1.67
2020-03-25,"45-64 years",14,2.25
2020-03-25,"65-84 years",6,1.92
2020-03-26,"1-14 years",2,0.27
2020-03-26,"15-24 years",9,1.77
2020-03-26,"25-44 years",42,4.67
2020-03-26,"45-64 years",25,4.02
2020-03-26,"65-84 years",8,2.56
